Work Constant HusbandInc EducYears ExpYears Age NSmallChild NBigChild
1 1 22.39494 12 7 43 0 3
0 1 7.232 8 10 34 0 7
1 1 18.27199 12 4 41 1 5
0 1 28.069 14 2 43 0 2
1 1 7.799889 12 10 31 0 1
0 1 28.63 16 6 37 0 3
0 1 22.8 12 12 30 1 0
1 1 17.20102 12 19 38 0 0
0 1 13.075 12 17 43 1 1
0 1 6 12 0 35 1 3
0 1 16.05 17 10 30 2 0
1 1 13.30008 12 19 54 0 0
1 1 23.15 12 8 40 0 1
1 1 10.50008 13 36 59 0 0
1 1 25.7 12 9 47 0 1
0 1 21.1 12 20 47 0 0
0 1 11.55 12 7 32 1 1
0 1 8.1 12 7 30 1 2
1 1 25.99992 13 15 34 0 1
1 1 23.5 16 7 35 1 2
1 1 22.29993 10 8 47 0 0
0 1 20.883 16 8 44 0 2
1 1 44.00004 14 15 46 0 0
1 1 17.2 16 8 34 0 2
1 1 17.9 12 6 40 0 2
0 1 7.04 9 0 34 0 1
1 1 34.60001 13 19 54 0 3
0 1 9.09 12 1 36 0 2
0 1 20.528 9 0 36 1 1
1 1 27.19999 9 11 53 0 0
1 1 10.70007 12 21 51 0 0
1 1 19.49998 12 5 30 0 2
1 1 31.2 13 4 33 0 3
1 1 9.048026 9 1 34 0 4
0 1 16.6 12 8 32 0 3
1 1 28.03994 12 19 37 0 3
0 1 63.2 16 22 50 0 0
1 1 23.67506 16 4 45 0 3
0 1 23.5 12 5 33 1 3
1 1 17.15 12 2 32 0 1
1 1 22.5 16 6 31 1 2
0 1 21.95 12 0 45 0 0
0 1 37.25 17 4 38 0 2
0 1 18.52 12 7 33 2 0
1 1 23.66802 11 9 39 0 1
1 1 11.09992 12 19 36 0 1
0 1 28.363 9 12 39 0 3
1 1 12.99996 15 16 45 0 1
1 1 14.69999 12 16 47 0 1
1 1 20.95005 17 29 54 0 1
0 1 28.9 16 8 48 0 1
1 1 6.49084 16 25 54 0 0
1 1 20.6 14 12 30 0 0
0 1 17.41 9 10 37 1 3
0 1 14.5 12 8 32 1 1
1 1 16.14195 16 11 54 0 1
1 1 34.857 12 3 54 0 0
0 1 6 12 5 36 0 2
1 1 26 16 31 59 0 0
1 1 18.19998 10 2 36 0 5
1 1 9.020008 10 1 32 0 2
0 1 25.1 12 0 30 1 1
0 1 45.25 14 7 31 1 2
1 1 17.02005 15 11 33 1 1
1 1 17.774 12 9 45 0 2
1 1 15.5 12 11 34 0 0
0 1 12 12 1 30 0 3
0 1 8 12 1 49 0 0
1 1 15.05 11 4 32 0 1
0 1 10.592 8 2 58 0 0
1 1 26.09008 12 14 47 0 0
0 1 34 12 8 37 0 1
0 1 12.092 12 3 31 1 0
1 1 14.00001 12 16 34 0 1
1 1 24.7 14 6 56 0 0
0 1 22.846 12 9 36 0 2
0 1 14 12 25 43 0 1
1 1 6.016024 13 11 49 0 1
0 1 12.1 12 9 30 2 0
0 1 23.26 12 4 46 0 0
0 1 51 16 1 41 0 2
0 1 18.4 10 0 42 0 2
1 1 12.82494 12 22 45 0 1
1 1 46.64506 12 12 47 0 0
0 1 31.7 13 6 42 0 1
0 1 12.09 8 1 51 0 0
0 1 17.505 12 24 53 0 1
1 1 9.56 12 15 45 0 0
1 1 41.39991 16 9 47 0 1
0 1 10.04 7 20 54 0 0
1 1 13.392 7 13 48 0 3
1 1 19.8 17 7 34 1 1
1 1 27.99995 12 23 46 0 0
1 1 28.8 12 24 52 0 0
1 1 10.49998 8 11 48 0 0
0 1 8.63 12 0 49 0 0
1 1 9.5 8 17 52 0 0
0 1 11.225 12 0 50 0 0
0 1 13.399 12 8 49 0 1
1 1 9.46604 13 2 31 0 1
0 1 14.45 12 18 54 0 2
1 1 9.99998 11 4 37 0 3
1 1 10.99998 14 11 32 0 0
1 1 13.73191 12 27 51 0 1
1 1 13.7 14 12 30 2 1
0 1 20.3 12 5 44 0 1
1 1 6.799996 12 6 34 0 3
1 1 12.70897 11 19 37 0 3
1 1 17.479 13 18 48 0 0
1 1 19.50005 17 28 49 0 0
0 1 15.825 9 3 42 0 2
1 1 18.49995 12 14 32 0 0
1 1 19.205 12 10 34 0 2
0 1 21.014 12 6 51 0 1
1 1 33.04997 17 12 50 0 1
1 1 14.4 16 14 43 1 0
1 1 9.645086 11 2 41 0 2
1 1 13.87196 7 15 43 0 3
1 1 9.620002 11 23 41 0 0
1 1 32.34996 12 6 58 0 0
1 1 8.274953 12 4 31 1 1
1 1 3.670978 12 26 52 0 0
0 1 50.3 15 1 32 1 1
0 1 17.4 12 8 43 1 2
0 1 21.7 12 12 45 0 1
1 1 18.00004 9 13 31 0 3
1 1 20.80007 17 10 34 0 0
0 1 32.5 12 6 47 0 2
1 1 11.62794 6 37 55 0 0
0 1 18.75 10 10 51 0 1
0 1 22 10 3 48 0 1
0 1 29 16 11 33 1 1
